gene,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
8_77647,1,2,2,0,0,0,1,0,0,0,0,0,1,0,0
eca-miR-129b-3p,1,1,1,1,0,0,1,0,2,0,0,1,0,0,0
eca-miR-329,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
eca-miR-376b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eca-miR-433,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0
eca-miR-499-3p,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
eca-miR-664,1,1,1,0,1,0,1,0,6,0,2,2,0,1,0
eca-miR-802,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
eca-miR-889,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0
eca-miR-145,0,1,0,0,6,0,5,0,15,0,3,4,0,4,14
eca-miR-200b,0,2,2,2,0,0,0,0,2,0,0,4,3,8,11
eca-miR-133a,0,2,2,2,7,0,0,0,2,0,0,4,0,7,9
eca-miR-199a-5p,0,1,4,0,2,0,6,1,11,2,1,6,0,4,8
6_68436,0,10,9,12,7,0,6,11,6,6,0,5,10,5,7
eca-miR-125a-5p,0,1,2,0,1,0,0,0,2,0,1,3,1,8,5
24_48205,0,1,4,1,3,0,2,2,7,0,0,3,1,20,5
eca-miR-338-3p,0,0,0,3,1,0,2,2,13,1,1,0,1,4,5
eca-miR-141,0,0,0,0,0,0,0,0,1,0,0,2,0,1,5
4_61380,0,3,8,3,3,0,5,7,2,4,0,1,5,0,4
24_48204,0,1,6,1,3,0,2,2,5,0,0,3,0,14,4
28_54256,0,0,2,0,0,0,0,4,2,2,2,2,0,1,4
eca-miR-671-5p,0,3,3,8,3,0,9,6,4,7,0,2,3,8,4
eca-miR-200a,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4
eca-miR-133b,0,0,1,2,2,0,0,0,0,0,0,1,0,4,4
eca-miR-214,0,0,1,1,0,0,0,1,3,1,0,1,0,2,4
7_74833,0,1,5,0,3,0,1,4,0,3,0,0,1,0,3
23_45187,0,1,5,6,2,0,3,1,3,2,1,0,0,1,3
7_74678,0,1,5,6,2,0,3,1,2,2,1,0,0,1,3
eca-miR-130a,0,6,4,1,2,0,8,2,18,0,0,4,1,8,3
18_30402,0,1,1,3,0,0,2,3,1,2,0,1,4,0,3
16_27724,0,0,1,0,0,0,0,0,2,1,0,2,0,3,3
eca-miR-193a-5p,0,0,0,0,0,0,0,1,3,0,0,1,0,0,3
eca-miR-193b,0,0,0,2,1,0,0,1,5,1,0,0,0,1,3
eca-miR-429,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
16_27965,0,0,3,1,0,0,3,6,2,7,2,0,3,2,2
11_12329,0,1,1,2,0,0,0,1,1,1,0,0,2,1,2
3_58083,0,0,2,0,1,0,1,2,1,0,0,0,0,1,2
5_64625,0,0,0,1,0,0,1,0,2,0,0,2,0,0,2
7_71743,0,0,0,0,1,0,1,0,0,1,0,0,2,1,2
13_18468,0,1,4,1,0,0,2,3,2,5,0,0,1,0,2
1_1472,0,2,7,6,2,0,3,3,4,1,0,1,0,3,2
22_44874,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2
25_50177,0,2,4,3,2,0,2,5,1,5,1,3,4,3,2
3_56742,0,1,0,0,4,0,0,1,1,0,0,0,1,2,2
3_58082,0,0,2,0,1,0,1,2,1,0,0,0,0,1,2
eca-miR-193a-3p,0,0,0,0,0,0,1,0,3,0,0,0,1,0,2
10_7372,0,0,1,1,1,0,1,2,2,0,3,0,0,1,2
16_26203,0,1,0,0,0,0,3,0,4,0,1,1,0,0,2
18_30477,0,5,1,2,2,0,2,3,3,3,1,0,1,1,2
7_73326,0,2,0,2,7,0,2,1,0,0,0,0,1,6,2
7_73327,0,2,0,2,9,0,2,1,2,0,1,1,1,14,2
eca-miR-147b,0,0,0,2,0,0,5,1,7,1,1,0,1,3,2
eca-miR-149,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2
eca-miR-188-5p,0,0,2,3,1,0,2,1,3,1,1,1,1,1,2
